path	size	legacy_candidate	sys_path_hack	duplicate_basename
audit_bundle_20250816-130133/LOW_COVERAGE_FILES.txt	1731	no	no	yes
audit_bundle_20250816-130133/README_AUDIT_BUNDLE.txt	603	no	no	no
audit_bundle_20250816-130133/reports/tests-collect-20250816-125637.txt	8674	no	no	yes
audit_bundle_20250816-130133/reports/tree-20250816-125637.txt	11938	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/actions/__init__.py	131	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/email_processor.py	4388	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/inference_classifier.py	5649	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/log_writer.py	3851	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/modules/leads_logger.py	2525	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/patches/handle_router_patch.py	965	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/patches/handle_safe_patch.py	1513	no	yes	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/run_action_handler.py	6368	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/send_with_attachment.py	4189	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/__main__.py	434	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/actions/complaint.py	2183	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/actions/sales_inquiry.py	6377	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/cli_spamcheck.py	1923	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/spam/feature_extractor.py	1218	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/spam/ml_spam_classifier.py	2529	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/spam/pipeline.py	503	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/spam/rule_filter.py	2643	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/spam/rules.py	4321	no	no	yes
